FF21_;57.22944;65.40444;1;
FF22;66.63420;66.81114;1;
FF24;61.04741;69.23612;1;
FF25;61.34444;73.56556;1;
FF26;58.05829;68.49760;1;
FF27;66.03861;76.76000;1;
FF30X;57.12861;65.43750;1;
FF30Y;57.12472;65.44444;1;
FF30Z;57.12819;65.43815;1;
FF31;67.91261;75.18519;1;
FF32;65.38733;72.79390;1;
FF34;62.01617;65.60654;1;
FF35;62.09556;74.49806;1;
FI03;57.12433;65.19035;1;
FI04;71.16928;71.72809;1;
FI04_;66.54908;66.41952;1;
FI22;66.63316;66.80865;1;
FL01;63.10111;75.18417;1;
FN01;63.10679;75.18967;1;
FN03;57.12694;65.19556;1;
FN04Y;71.17655;71.77593;1;
FN06Y;60.99941;68.86244;1;
FN08;58.05837;68.20103;1;
FN09;66.09496;76.32903;1;
FN10;70.35336;68.14002;1;
FN12;57.23639;65.23722;1;
FN14X;65.57779;72.60072;1;
FN16;62.20519;65.62174;1;
FN16_;63.78079;66.70733;1;
FN16X;62.18810;65.61981;1;
FN16X_;63.77260;66.70668;1;
FN17X;62.27492;74.56555;1;
FN18;60.21028;64.87083;1;
FN19U;63.26145;75.34913;1;
FN22;71.26050;72.36090;1;
FN22Y;71.25267;72.30562;1;
FN24Y;61.05723;69.30936;1;
FN26;58.05828;68.49610;1;
FN27;66.04472;76.71097;1;
FN28;70.26683;68.50518;1;
FN30;61.24158;63.73858;1;
FN30X;61.22761;63.76115;1;
FN30X_;57.12833;65.43778;1;
FN31;67.91279;75.18681;1;
FN32X;65.39495;72.78712;1;
FN34X;62.02424;65.60707;1;
FN34X_;63.59504;66.69272;1;
FN34Y;63.58534;66.69192;1;
FN34Z;63.58536;66.69197;1;
FN35X;62.11113;74.50384;1;
FN36;60.00583;64.78194;1;
GAFEN;57.90806;69.05750;0;
GARMU;60.35222;69.62361;0;
GEPLA;61.93194;63.28833;0;
GERPI;67.71889;67.91806;0;
GIBUL;57.39694;63.76028;0;
GIMAS;58.86556;73.68889;0;
GIMIL;65.78111;81.48778;0;
GIMIR;65.48222;72.69861;0;
GINPA;57.28833;64.51833;0;
GIPON;63.89611;81.15722;0;
GIREP;66.07056;76.52028;0;
GIRNI;60.51389;76.20694;0;
GIROP;61.02389;77.93889;0;
GISOM;65.68222;73.64083;0;
GISOT;61.54389;71.04028;0;
GISUR;61.34389;73.40194;0;
GITIR;61.19556;64.86667;0;
GITOK;68.01722;76.05306;0;
GOBLA;61.12500;72.04722;0;
GOLOK;61.09667;73.71667;0;
GOLOM;72.72083;74.84972;0;
GOLON;59.31722;63.97361;0;
GONOK;66.33556;72.83833;0;
GOREN;57.49694;64.73861;0;
GRADA;57.98361;65.61528;0;
GUBAT;67.00722;65.43139;0;
GUDIR;67.57556;70.02472;0;
GUPLI;64.25056;60.89806;0;
HH001;61.04575;69.22283;1;
HH002;60.82378;69.47713;1;
HH003;61.14904;69.08297;1;
HH004;60.89058;68.81166;1;
HH005;60.96181;68.56157;1;
HH006;61.08359;68.70817;1;
HH007;60.98710;68.76007;1;
HH008;61.00778;68.92276;1;
HH009;61.16619;69.35941;1;
HH010;61.09490;69.61104;1;
HH011;60.97328;69.46387;1;
HH012;61.06974;69.41180;1;
HH013;61.04912;69.24877;1;
HH014;61.30868;69.15463;1;
HH015;61.19949;68.67748;1;
HH016;61.00193;69.49474;1;
HH017;60.94125;69.24025;1;
HH018;61.24406;69.57097;1;
HH019;61.16212;69.12562;1;
HH020;61.22703;68.69441;1;
HH021;60.85383;68.68529;1;
HH022;60.81575;68.83760;1;
HH023;60.81169;69.27885;1;
HH024;60.90861;69.77598;1;
HH025;61.00456;68.89844;1;
HH026;61.17312;69.70216;1;
HH027;61.08908;69.79608;1;
HH028;60.92469;69.21892;1;
HH029;61.00923;68.93488;1;
HH030;61.04751;69.23683;1;
HN001;62.18536;65.62061;1;
HN002;62.19175;65.27925;1;
HN008;61.91592;65.59631;1;
HN009;61.91158;65.80736;1;
HN010;61.91994;65.38517;1;
HN011;62.02278;66.04272;1;
HN012;62.07772;65.09997;1;
HN013;62.06967;65.26564;1;
HQ101;63.78056;66.70825;1;
HQ102;63.86481;66.71606;1;
HQ103;63.86875;66.48836;1;
HQ104;63.96522;66.72539;1;
HQ105;63.86053;66.94367;1;
HQ106;63.59769;66.69147;1;
HQ107;63.78828;66.93606;1;
HQ108;63.72164;66.25594;1;
HQ109;63.67192;67.14258;1;
HQ110;63.58586;66.69042;1;
HQ111;63.50158;66.68275;1;
HQ112;63.49733;66.90747;1;
HQ113;63.50547;66.45794;1;
HQ114;63.74000;66.70453;1;
HQ115;63.55536;66.91319;1;
HQ116;63.56294;67.11375;1;
HQ117;63.70381;66.10122;1;
HS003;61.54192;63.49895;1;
HS006;61.27151;63.68967;1;
HS008;61.24164;63.73754;1;
HS009;61.18251;63.83212;1;
HS011;61.09836;63.72187;1;
HS012;61.21250;64.02897;1;
HS013;61.10354;63.95771;1;
IBMID;71.52833;72.58167;1;
IBRIL;60.26556;70.08861;0;
INDUS;61.97583;73.33833;0;
INGIR;62.75278;74.99583;0;
INKOR;58.25722;72.90389;0;
INSUD;61.76028;63.82833;0;
INTAN;66.34278;63.20667;0;
ISKET;56.83861;66.76028;0;
KABAT;59.39528;65.87694;0;
KALIR;60.19333;65.52500;0;
KAMNI;66.43389;64.36472;0;
KANAL;62.15056;73.61528;0;
KARPO;60.84167;74.05667;0;
KEDOR;63.48306;59.79222;0;
KEGIR;56.77528;65.34028;0;
KEGIS;66.00722;77.54528;0;
KEMIB;69.97528;68.66778;0;
KENAK;70.22167;66.03556;0;
KESEB;60.71722;67.54028;0;
KIRZI;66.81333;64.70139;0;
KOGUM;62.19056;74.53361;0;
KOPIS;61.17472;82.80083;0;
KORIB;59.44528;65.34694;0;
KOVER;61.31389;72.07861;0;
KOVUD;59.47028;64.81528;0;
KUBET;60.45056;75.83222;0;
KUGET;65.27833;65.79472;0;
KULAM;58.05028;66.86694;0;
KULAP;66.67222;67.72139;0;
KULOG;65.21944;78.31556;0;
KUMAS;66.24722;73.69667;0;
KUMIR;61.76722;83.54917;0;
KUPAD;60.90583;75.54917;0;
KUPEN;61.13167;70.03667;0;
KUPON;59.75056;75.28222;0;
KUSET;68.18750;78.82861;0;
KUTAM;64.23056;84.33583;0;
LABAR;70.93389;65.75583;0;
LAGNI;65.66722;70.58167;0;
LAKED;57.61361;65.47694;0;
LALUL;71.47944;72.79389;1;
LAMIN;61.28333;71.75000;1;
LANEM;66.02806;81.83111;0;
LARTU;61.99556;70.97028;0;
LARUS;59.74833;64.82222;0;
LEBED;57.05861;66.91528;0;
LEBUL;64.84556;71.80833;0;
LEGBI;56.52028;70.01389;0;
LEKMU;63.07611;67.17139;0;
LEPES;69.96389;66.18444;0;
LERPI;59.05556;66.78528;0;
LIBMA;56.03861;67.67361;0;
LIGRI;63.20056;64.43167;0;
LITMA;62.55556;74.87361;0;
LITUN;59.33389;74.49889;0;
LOKDI;64.17528;81.23556;0;
LOKOS;61.05000;74.60000;1;
LONGI;59.56389;69.52528;0;
LOREK;60.35056;76.48222;0;
LORTI;67.92222;67.51972;0;
LUGIK;59.71694;65.93194;0;
LUGOT;72.03889;66.82250;0;
LUKAS;56.14139;69.42694;0;
LUKAT;66.86306;67.51111;0;
LUKIS;63.31389;76.22139;0;
LULIT;62.02889;71.47028;0;
LUMOR;65.06889;78.59333;0;
LUNEP;63.18389;75.26861;0;
LUNOD;65.66278;76.97750;0;
LUSIN;57.81639;67.74306;0;
LUTEP;61.39556;64.52722;0;
MABIN;63.89056;75.13694;0;
MADUN;66.14222;66.62306;0;
MALIB;56.68361;65.64028;0;
MALUB;63.79833;65.92889;0;
MALUR;62.18694;75.30278;0;
MAMAT;71.07222;70.15778;0;
MAPUN;58.60500;64.79500;0;
MAPUR;70.85778;78.58972;0;
MASUL;64.91889;66.66167;0;
MAZIS;57.74861;68.83917;0;
MD04;66.58065;66.56597;1;
MEBOR;67.30722;66.63972;0;
MELIM;68.50056;71.13639;0;
MEMBA;65.85056;74.46528;0;
MESKO;69.05917;79.76861;0;
MIDET;58.09972;67.59278;0;
MILGA;59.83861;64.01833;0;
MININ;71.69917;76.49639;0;
MISOR;69.87083;79.26194;0;
ML26;58.05842;68.37839;1;
MM101;65.41792;72.76319;1;
MM102;65.54411;72.63581;1;
MM103;65.57822;72.60114;1;
MM104;65.65589;72.52183;1;
MM105;65.61661;72.29794;1;
MM106;65.69483;72.74642;1;
MM107;65.41050;72.77064;1;
MM108;65.61697;72.82486;1;
MM109;65.72303;73.17667;1;
MM110;65.44264;72.19219;1;
MM111;65.20733;72.49867;1;
MM112;65.38631;72.79489;1;
MM113;65.30847;72.87258;1;
MM114;65.34689;73.09472;1;
MM115;65.26969;72.65108;1;
MM116;65.53744;72.64256;1;
MM117;65.42486;73.01756;1;
MM118;65.50433;73.30142;1;
MM119;65.41033;72.38439;1;
MOKON;66.28056;73.70333;0;
MOLEG;58.23167;67.66111;0;
MONAG;70.00083;75.27667;0;
MONAR;64.18222;65.17000;0;
MONIB;65.84083;72.04917;0;
MORUT;72.29750;75.44639;0;
MOTEK;59.43889;67.86361;0;
MQ001;68.11653;74.65378;1;
MQ002;68.15706;74.89797;1;
MQ003;68.19706;75.14325;1;
MQ004;68.06439;75.00764;1;
MQ005;67.85706;75.53697;1;
MQ006;67.81753;75.29506;1;
MQ007;67.77767;75.05400;1;
MQ008;67.91206;75.18581;1;
MQ009;68.02225;75.05717;1;
MQ010;68.10439;75.25189;1;
MQ011;67.95172;75.42850;1;
MQ22;66.60040;66.65750;1;
MU001;66.03044;76.00653;1;
MU002;66.15639;75.84464;1;
MU003;66.22192;76.15644;1;
MU004;66.12606;76.08111;1;
MU005;66.10086;76.27964;1;
MU006;66.07600;76.47317;1;
MU007;66.03800;76.76789;1;
MU101;66.10861;77.03197;1;
MU102;65.98222;77.19150;1;
MU103;65.91725;76.88192;1;
MU104;66.01267;76.95644;1;
MU105;66.03861;76.76008;1;
MU106;66.10422;76.25667;1;
MU201;66.02825;76.83869;1;
MU202;66.12208;76.91392;1;
MURGA;64.63278;77.34139;0;
NALOG;60.01361;63.95833;0;
NAPAD;67.12528;82.03667;0;
NAPOR;57.11472;66.13611;0;
NAREK;65.71083;62.09000;0;
NARNI;60.26556;65.47278;0;
NASDA;57.66694;66.19861;0;
NASER;63.48889;72.50861;0;
NEGER;68.28222;71.20806;0;
NEGNA;61.93722;71.38694;0;
NELAR;66.56056;67.73528;0;
NEMON;60.86556;68.27694;0;
NENUS;64.43889;69.96167;0;
NERPI;63.31944;64.97139;0;
NERUG;57.49389;65.88778;0;
NESAT;65.08194;73.18056;0;
NESPI;61.09861;73.43222;0;
NETLU;62.48389;64.92833;0;
NETUR;63.66889;64.81667;0;
NIBNU;61.76944;82.79167;0;
NIDRA;71.45917;77.14333;0;
NIKUL;58.46722;73.17722;0;
NIMOL;61.36944;76.76167;0;
NIREL;67.87333;74.19528;0;
NITEK;65.35333;82.02778;0;
NITNU;71.38667;73.01917;1;
NN141;60.99853;76.57406;1;
NN142;60.86981;76.33419;1;
NN143;60.80725;76.21819;1;
NN144;60.73964;76.37028;1;
NN145;60.87469;76.06544;1;
NN146;60.93725;76.18161;1;
NN147;60.99908;76.57461;1;
NN148;60.87006;76.74211;1;
NN231;60.89864;76.38833;1;
NN232;61.15114;76.57931;1;
NN233;61.01608;76.88686;1;
NN234;61.08367;76.73344;1;
NN235;61.02122;76.61644;1;
NN236;60.89894;76.38803;1;
NN237;61.08856;76.46292;1;
NN238;60.87372;76.86350;1;
NODRA;60.46222;64.84250;0;
NOLBI;63.44722;77.25722;0;
NOLRI;67.07389;77.30361;0;
NONRA;70.03000;69.47139;0;
NOROT;67.70056;72.89833;0;
NURGI;67.98722;75.09833;0;
NUTSA;60.85583;71.31500;0;
OBEMA;70.48417;65.87972;0;
OBODA;70.87056;72.35028;0;
OBUSI;69.00250;79.03028;0;
ODNOR;63.99028;65.62250;0;
OGDAR;69.42917;73.12806;0;
OGIKA;61.78333;72.44667;0;
OGLES;65.57806;71.64389;0;
OGOLA;60.50389;68.78528;0;
OGROM;62.47833;59.58444;0;
OGTAT;62.29972;82.40389;0;
OGTON;56.41139;66.51944;0;
OGUMA;62.33333;59.55861;0;
OKARO;63.92722;72.99528;0;
OKATU;67.64306;75.37056;0;
OKDEG;55.82056;69.35667;0;
OKIMI;63.34028;66.50083;0;
OKLIN;65.81889;73.59194;0;
OKRAM;65.77222;72.53167;0;
OKRIN;60.99611;77.38472;0;
OKSAN;60.81806;76.04139;0;
OLAPI;64.63028;60.32111;0;
OLDEM;67.35056;73.16833;0;
OLEMI;60.92611;64.03139;0;
OLUKA;63.56722;75.78806;0;
OM07;61.34394;73.29881;1;
OM25;61.34417;73.50489;1;
ORGUN;65.92222;78.95389;0;
ORMUT;67.04556;78.57528;0;
ORTIL;68.82889;72.83000;0;
OSGOP;55.96000;67.90833;0;
OSLIG;70.87583;71.67667;0;
OSNEP;58.46111;68.28833;0;
OTNIS;65.74111;64.54500;0;
OTNOR;66.50167;76.21917;0;
PAMIR;62.53556;74.21556;0;
PAROM;60.83389;77.03389;0;
PARUS;61.77722;74.40889;0;
PEKIL;59.90556;65.41917;0;
PEKOM;64.45556;60.06361;0;
PEMIN;60.70139;76.15278;0;
